grid_id,analysis_status,missing_fields,heat_score,elderly_score,farmland_score,coverage_gap_score,vulnerability_score,risk_level,installation_need_score,installation_rank,blind_spot,main_factors
라마41a26a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마41a26b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마41a27a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마41a27b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마41b24b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마41b25a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마41b25b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마41b26a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마41b26b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마41b27a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마41b27b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마41b28a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42a22b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42a23a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42a23b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42a24a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42a24b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42a25a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42a25b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42a26a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42a26b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42a27a,OK,[],50.0,81.67,16.79,72.59,49.49,MODERATE,55.26,214.0,False,"[""HIGH_ELDERLY_RATIO"",""LOW_SHELTER_ACCESSIBILITY"",""HIGH_HEAT""]"
라마42a27b,OK,[],50.0,56.67,9.41,79.72,38.69,MODERATE,48.95,381.0,False,"[""LOW_SHELTER_ACCESSIBILITY"",""HIGH_ELDERLY_RATIO"",""HIGH_HEAT""]"
라마42a28a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42a28b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42b22b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42b23a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42b23b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42b24a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42b24b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42b25a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42b25b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42b26a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42b26b,OK,[],50.0,51.04,6.83,52.63,35.96,MODERATE,40.12,635.0,False,"[""LOW_SHELTER_ACCESSIBILITY"",""HIGH_ELDERLY_RATIO"",""HIGH_HEAT""]"
라마42b27a,OK,[],50.0,0.0,36.78,58.06,28.93,MODERATE,36.21,742.0,False,"[""LOW_SHELTER_ACCESSIBILITY"",""HIGH_HEAT""]"
라마42b27b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42b28a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마42b28b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a19b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a20a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a20b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a21a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a21b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a22a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a22b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a23a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a23b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a24a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a24b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a25a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a25b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a26a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a26b,OK,[],50.0,0.0,7.39,37.25,19.13,LOW,23.66,923.0,False,"[""HIGH_HEAT""]"
라마43a27a,OK,[],50.0,53.85,10.45,44.36,38.1,MODERATE,39.66,651.0,False,"[""HIGH_ELDERLY_RATIO"",""HIGH_HEAT""]"
라마43a27b,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
라마43a28a,INSUFFICIENT_DATA,"[""elderly_ratio""]",,,,,,,,,,[]
