grid_id,population,elderly_population,elderly_ratio,population_source,population_reference_date,elderly_population_source,elderly_reference_date
라마41a26a,,,,NGII,202410,NGII,202410
라마41a26b,,,,NGII,202410,NGII,202410
라마41a27a,,,,NGII,202410,NGII,202410
라마41a27b,,,,NGII,202410,NGII,202410
라마41b24b,,,,NGII,202410,NGII,202410
라마41b25a,,,,NGII,202410,NGII,202410
라마41b25b,,,,NGII,202410,NGII,202410
라마41b26a,0.0,,,NGII,202410,NGII,202410
라마41b26b,0.0,0.0,,NGII,202410,NGII,202410
라마41b27a,,,,NGII,202410,NGII,202410
라마41b27b,,,,NGII,202410,NGII,202410
라마41b28a,,,,NGII,202410,NGII,202410
라마42a22b,,,,NGII,202410,NGII,202410
라마42a23a,,,,NGII,202410,NGII,202410
라마42a23b,,,,NGII,202410,NGII,202410
라마42a24a,,,,NGII,202410,NGII,202410
라마42a24b,,,,NGII,202410,NGII,202410
라마42a25a,0.0,0.0,,NGII,202410,NGII,202410
라마42a25b,,,,NGII,202410,NGII,202410
라마42a26a,,,,NGII,202410,NGII,202410
라마42a26b,0.0,0.0,,NGII,202410,NGII,202410
라마42a27a,10.0,7.0,0.7,NGII,202410,NGII,202410
라마42a27b,35.0,17.0,0.4857142857142857,NGII,202410,NGII,202410
라마42a28a,,,,NGII,202410,NGII,202410
라마42a28b,,,,NGII,202410,NGII,202410
라마42b22b,,,,NGII,202410,NGII,202410
라마42b23a,,,,NGII,202410,NGII,202410
라마42b23b,,,,NGII,202410,NGII,202410
라마42b24a,,,,NGII,202410,NGII,202410
라마42b24b,,,,NGII,202410,NGII,202410
라마42b25a,,,,NGII,202410,NGII,202410
라마42b25b,,,,NGII,202410,NGII,202410
라마42b26a,,,,NGII,202410,NGII,202410
라마42b26b,16.0,7.0,0.4375,NGII,202410,NGII,202410
라마42b27a,6.0,0.0,0.0,NGII,202410,NGII,202410
라마42b27b,0.0,,,NGII,202410,NGII,202410
라마42b28a,,,,NGII,202410,NGII,202410
라마42b28b,,,,NGII,202410,NGII,202410
라마43a19b,,,,NGII,202410,NGII,202410
라마43a20a,,,,NGII,202410,NGII,202410
라마43a20b,,,,NGII,202410,NGII,202410
라마43a21a,,,,NGII,202410,NGII,202410
라마43a21b,,,,NGII,202410,NGII,202410
라마43a22a,,,,NGII,202410,NGII,202410
라마43a22b,,,,NGII,202410,NGII,202410
라마43a23a,,,,NGII,202410,NGII,202410
라마43a23b,,,,NGII,202410,NGII,202410
라마43a24a,,,,NGII,202410,NGII,202410
라마43a24b,,,,NGII,202410,NGII,202410
라마43a25a,,,,NGII,202410,NGII,202410
라마43a25b,,,,NGII,202410,NGII,202410
라마43a26a,,,,NGII,202410,NGII,202410
라마43a26b,9.0,0.0,0.0,NGII,202410,NGII,202410
라마43a27a,13.0,6.0,0.46153846153846156,NGII,202410,NGII,202410
라마43a27b,0.0,0.0,,NGII,202410,NGII,202410
라마43a28a,,,,NGII,202410,NGII,202410
라마43a28b,,,,NGII,202410,NGII,202410
라마43a29a,,,,NGII,202410,NGII,202410
라마43a29b,,,,NGII,202410,NGII,202410
라마43b18a,,,,NGII,202410,NGII,202410
라마43b18b,,,,NGII,202410,NGII,202410
라마43b19a,,,,NGII,202410,NGII,202410
라마43b19b,,,,NGII,202410,NGII,202410
라마43b20a,,,,NGII,202410,NGII,202410
라마43b20b,,,,NGII,202410,NGII,202410
라마43b21a,,,,NGII,202410,NGII,202410
라마43b21b,0.0,,,NGII,202410,NGII,202410
라마43b22a,,,,NGII,202410,NGII,202410
라마43b22b,,,,NGII,202410,NGII,202410
라마43b23a,,,,NGII,202410,NGII,202410
라마43b23b,,,,NGII,202410,NGII,202410
라마43b24a,,,,NGII,202410,NGII,202410
라마43b24b,0.0,0.0,,NGII,202410,NGII,202410
라마43b25a,7.0,0.0,0.0,NGII,202410,NGII,202410
라마43b25b,,,,NGII,202410,NGII,202410
라마43b26a,,,,NGII,202410,NGII,202410
라마43b26b,0.0,0.0,,NGII,202410,NGII,202410
라마43b27a,41.0,26.0,0.6341463414634146,NGII,202410,NGII,202410
라마43b27b,,,,NGII,202410,NGII,202410
라마43b28a,0.0,0.0,,NGII,202410,NGII,202410
라마43b28b,0.0,0.0,,NGII,202410,NGII,202410
라마43b29a,,,,NGII,202410,NGII,202410
라마43b29b,,,,NGII,202410,NGII,202410
라마43b30a,8.0,7.0,0.875,NGII,202410,NGII,202410
라마43b30b,,,,NGII,202410,NGII,202410
라마43b31a,,,,NGII,202410,NGII,202410
라마43b31b,,,,NGII,202410,NGII,202410
라마44a16b,,,,NGII,202410,NGII,202410
라마44a17a,,,,NGII,202410,NGII,202410
라마44a17b,,,,NGII,202410,NGII,202410
라마44a18a,,,,NGII,202410,NGII,202410
라마44a18b,,,,NGII,202410,NGII,202410
라마44a19a,,,,NGII,202410,NGII,202410
라마44a19b,,,,NGII,202410,NGII,202410
라마44a20a,,,,NGII,202410,NGII,202410
라마44a20b,,,,NGII,202410,NGII,202410
라마44a21a,,,,NGII,202410,NGII,202410
라마44a21b,,,,NGII,202410,NGII,202410
라마44a22a,,,,NGII,202410,NGII,202410
라마44a22b,,,,NGII,202410,NGII,202410
라마44a23a,,,,NGII,202410,NGII,202410
라마44a23b,,,,NGII,202410,NGII,202410
라마44a24a,,,,NGII,202410,NGII,202410
라마44a24b,,,,NGII,202410,NGII,202410
라마44a25a,12.0,9.0,0.75,NGII,202410,NGII,202410
라마44a25b,12.0,0.0,0.0,NGII,202410,NGII,202410
라마44a26a,31.0,22.0,0.7096774193548387,NGII,202410,NGII,202410
라마44a26b,26.0,19.0,0.7307692307692307,NGII,202410,NGII,202410
라마44a27a,60.0,33.0,0.55,NGII,202410,NGII,202410
라마44a27b,0.0,,,NGII,202410,NGII,202410
라마44a28a,,,,NGII,202410,NGII,202410
라마44a28b,,,,NGII,202410,NGII,202410
라마44a29a,,,,NGII,202410,NGII,202410
라마44a29b,,,,NGII,202410,NGII,202410
라마44a30a,7.0,0.0,0.0,NGII,202410,NGII,202410
라마44a30b,,,,NGII,202410,NGII,202410
라마44a31a,15.0,11.0,0.7333333333333333,NGII,202410,NGII,202410
라마44a31b,0.0,0.0,,NGII,202410,NGII,202410
라마44a32a,,,,NGII,202410,NGII,202410
라마44a32b,0.0,,,NGII,202410,NGII,202410
라마44a33a,,,,NGII,202410,NGII,202410
라마44a33b,,,,NGII,202410,NGII,202410
라마44a34a,18.0,15.0,0.8333333333333334,NGII,202410,NGII,202410
라마44a34b,,,,NGII,202410,NGII,202410
라마44b16a,,,,NGII,202410,NGII,202410
라마44b16b,,,,NGII,202410,NGII,202410
라마44b17a,,,,NGII,202410,NGII,202410
라마44b17b,,,,NGII,202410,NGII,202410
라마44b18a,,,,NGII,202410,NGII,202410
라마44b18b,0.0,0.0,,NGII,202410,NGII,202410
라마44b19a,,,,NGII,202410,NGII,202410
라마44b19b,,,,NGII,202410,NGII,202410
라마44b20a,,,,NGII,202410,NGII,202410
라마44b20b,,,,NGII,202410,NGII,202410
라마44b21a,14.0,8.0,0.5714285714285714,NGII,202410,NGII,202410
라마44b21b,,,,NGII,202410,NGII,202410
라마44b22a,,,,NGII,202410,NGII,202410
라마44b22b,,,,NGII,202410,NGII,202410
라마44b23a,,,,NGII,202410,NGII,202410
라마44b23b,,,,NGII,202410,NGII,202410
라마44b24a,,,,NGII,202410,NGII,202410
라마44b24b,,,,NGII,202410,NGII,202410
라마44b25a,,,,NGII,202410,NGII,202410
라마44b25b,,,,NGII,202410,NGII,202410
라마44b26a,45.0,30.0,0.6666666666666666,NGII,202410,NGII,202410
라마44b26b,41.0,25.0,0.6097560975609756,NGII,202410,NGII,202410
라마44b27a,12.0,9.0,0.75,NGII,202410,NGII,202410
라마44b27b,,,,NGII,202410,NGII,202410
라마44b28a,,,,NGII,202410,NGII,202410
라마44b28b,,,,NGII,202410,NGII,202410
라마44b29a,,,,NGII,202410,NGII,202410
라마44b29b,,,,NGII,202410,NGII,202410
라마44b30a,,,,NGII,202410,NGII,202410
라마44b30b,7.0,0.0,0.0,NGII,202410,NGII,202410
라마44b31a,19.0,11.0,0.5789473684210527,NGII,202410,NGII,202410
라마44b31b,,,,NGII,202410,NGII,202410
라마44b32a,0.0,0.0,,NGII,202410,NGII,202410
라마44b32b,29.0,23.0,0.7931034482758621,NGII,202410,NGII,202410
라마44b33a,19.0,12.0,0.631578947368421,NGII,202410,NGII,202410
라마44b33b,14.0,8.0,0.5714285714285714,NGII,202410,NGII,202410
라마44b34a,7.0,0.0,0.0,NGII,202410,NGII,202410
라마44b34b,0.0,,,NGII,202410,NGII,202410
라마45a15b,,,,NGII,202410,NGII,202410
라마45a16a,7.0,,,NGII,202410,NGII,202410
라마45a16b,0.0,0.0,,NGII,202410,NGII,202410
라마45a17a,,,,NGII,202410,NGII,202410
라마45a17b,,,,NGII,202410,NGII,202410
라마45a18a,0.0,0.0,,NGII,202410,NGII,202410
라마45a18b,54.0,37.0,0.6851851851851852,NGII,202410,NGII,202410
라마45a19a,0.0,0.0,,NGII,202410,NGII,202410
라마45a19b,0.0,,,NGII,202410,NGII,202410
라마45a20a,,,,NGII,202410,NGII,202410
라마45a20b,,,,NGII,202410,NGII,202410
라마45a21a,0.0,0.0,,NGII,202410,NGII,202410
라마45a21b,,,,NGII,202410,NGII,202410
라마45a22a,,,,NGII,202410,NGII,202410
라마45a22b,,,,NGII,202410,NGII,202410
라마45a23a,,,,NGII,202410,NGII,202410
라마45a23b,,,,NGII,202410,NGII,202410
라마45a24a,,,,NGII,202410,NGII,202410
라마45a24b,,,,NGII,202410,NGII,202410
라마45a25a,,,,NGII,202410,NGII,202410
라마45a25b,32.0,19.0,0.59375,NGII,202410,NGII,202410
라마45a26a,17.0,11.0,0.6470588235294118,NGII,202410,NGII,202410
라마45a26b,0.0,0.0,,NGII,202410,NGII,202410
라마45a27a,,,,NGII,202410,NGII,202410
라마45a27b,0.0,0.0,,NGII,202410,NGII,202410
라마45a28a,,,,NGII,202410,NGII,202410
라마45a28b,,,,NGII,202410,NGII,202410
라마45a29a,,,,NGII,202410,NGII,202410
라마45a29b,,,,NGII,202410,NGII,202410
라마45a30a,,,,NGII,202410,NGII,202410
라마45a30b,,,,NGII,202410,NGII,202410
라마45a31a,7.0,0.0,0.0,NGII,202410,NGII,202410
라마45a31b,,,,NGII,202410,NGII,202410
라마45a32a,13.0,9.0,0.6923076923076923,NGII,202410,NGII,202410
